,User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
59,60,27,Male,Facebook,60.0,1.0,10.0,4.0,15.0,Boredom
60,61,30,Female,Instagram,175.0,6.0,70.0,23.0,33.0,Happiness
61,62,23,Male,Whatsapp,70.0,3.0,20.0,8.0,18.0,Anger
62,63,34,Non-binary,Telegram,80.0,2.0,18.0,7.0,20.0,Neutral
63,64,26,Female,Snapchat,120.0,4.0,50.0,15.0,30.0,Anxiety
64,65,25,Male,Twitter,90.0,6.0,40.0,12.0,26.0,Sadness
65,66,29,Non-binary,Facebook,60.0,1.0,8.0,2.0,12.0,Boredom
66,67,28,Male,Instagram,165.0,5.0,75.0,18.0,35.0,Happiness
67,68,31,Female,Whatsapp,65.0,2.0,25.0,8.0,20.0,Neutral
68,69,27,Male,Telegram,105.0,3.0,45.0,15.0,28.0,Anxiety
69,70,22,Non-binary,Snapchat,75.0,2.0,18.0,6.0,20.0,Sadness
70,71,24,Female,Instagram,140.0,4.0,60.0,18.0,30.0,Happiness
71,72,35,Male,Twitter,70.0,1.0,12.0,7.0,10.0,Boredom
72,73,21,Non-binary,Facebook,55.0,3.0,15.0,5.0,12.0,Neutral
73,74,29,Female,Whatsapp,90.0,2.0,20.0,9.0,22.0,Anger
74,75,25,Male,Telegram,80.0,4.0,28.0,11.0,25.0,Neutral
75,76,28,Non-binary,Snapchat,115.0,3.0,36.0,12.0,27.0,Anxiety
76,77,32,Female,Instagram,155.0,6.0,72.0,20.0,38.0,Happiness
77,78,26,Male,Twitter,75.0,2.0,22.0,10.0,18.0,Sadness
78,79,33,Non-binary,Facebook,65.0,1.0,12.0,5.0,14.0,Anxiety
79,80,27,Female,Whatsapp,90.0,4.0,35.0,14.0,20.0,Neutral
80,81,31,Male,Telegram,50.0,2.0,18.0,6.0,12.0,Sadness
81,82,24,Non-binary,Snapchat,85.0,3.0,30.0,13.0,18.0,Happiness
82,83,34,Female,Instagram,120.0,5.0,55.0,19.0,25.0,Anger
83,84,22,Male,Twitter,70.0,1.0,20.0,5.0,22.0,Neutral
84,85,29,Non-binary,Facebook,75.0,2.0,18.0,8.0,20.0,Boredom
85,86,28,Female,Whatsapp,100.0,4.0,35.0,12.0,26.0,Anxiety
86,87,31,Male,Telegram,85.0,3.0,40.0,15.0,28.0,Sadness
87,88,21,Non-binary,Snapchat,60.0,1.0,15.0,5.0,12.0,Neutral
88,89,25,Female,Instagram,170.0,6.0,78.0,22.0,33.0,Happiness
89,90,30,Male,Twitter,70.0,2.0,28.0,10.0,20.0,Anxiety
90,91,27,Non-binary,Facebook,50.0,1.0,8.0,2.0,10.0,Boredom
91,92,32,Female,Whatsapp,105.0,4.0,50.0,18.0,25.0,Anger
92,93,24,Male,Telegram,75.0,3.0,33.0,13.0,22.0,Neutral
93,94,29,Female,Snapchat,95.0,2.0,20.0,7.0,28.0,Sadness
94,95,26,Male,Instagram,150.0,5.0,65.0,20.0,30.0,Anxiety
95,96,33,Non-binary,Twitter,85.0,4.0,30.0,13.0,18.0,Boredom
96,97,22,Female,Facebook,70.0,1.0,12.0,5.0,10.0,Neutral
97,98,35,Male,Whatsapp,110.0,3.0,45.0,20.0,25.0,Happiness
98,99,28,Non-binary,Telegram,60.0,2.0,15.0,6.0,18.0,Anger
99,100,27,Female,Snapchat,120.0,4.0,38.0,13.0,22.0,Neutral
100,101,25,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness
101,102,30,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger
102,103,22,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral
103,104,28,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety
104,105,33,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom
105,106,21,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness
106,107,27,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger
107,108,24,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness
108,109,29,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral
109,110,31,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness
110,111,23,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety
111,112,26,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness
112,113,34,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom
113,114,22,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness
114,115,28,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger
115,116,21,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral
116,117,35,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety
117,118,27,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness
118,119,23,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral
119,120,32,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness
120,121,26,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety
121,122,24,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger
122,123,29,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom
123,124,33,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness
124,125,22,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness
125,126,31,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral
126,127,27,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety
127,128,25,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness
128,129,30,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger
129,130,26,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness
130,131,34,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom
131,132,28,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness
132,133,23,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral
133,134,21,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness
134,135,29,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety
135,136,24,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom
136,137,33,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness
137,138,27,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger
138,139,22,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral
139,140,28,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety
140,141,31,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness
141,142,25,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness
142,143,29,Male,Twitter,95.0,4.0,50.0,22.0,22.0,Anger
143,144,23,Non-binary,Facebook,105.0,2.0,25.0,12.0,18.0,Neutral
144,145,35,Female,LinkedIn,60.0,1.0,15.0,7.0,14.0,Boredom
145,146,30,Male,Instagram,175.0,7.0,100.0,33.0,38.0,Happiness
146,147,21,Female,Twitter,90.0,3.0,37.0,14.0,20.0,Sadness
147,148,26,Non-binary,Facebook,75.0,2.0,30.0,12.0,18.0,Anxiety
148,149,32,Male,Instagram,130.0,5.0,80.0,28.0,31.0,Neutral
149,150,28,Female,LinkedIn,55.0,1.0,12.0,6.0,10.0,Boredom
150,151,27,Male,Instagram,165.0,6.0,85.0,30.0,28.0,Happiness
151,152,24,Female,Twitter,75.0,3.0,33.0,18.0,19.0,Anger
152,153,29,Non-binary,Facebook,85.0,2.0,27.0,9.0,20.0,Neutral
153,154,33,Female,Instagram,145.0,4.0,65.0,23.0,35.0,Sadness
154,155,31,Male,LinkedIn,60.0,1.0,15.0,7.0,17.0,Anxiety
155,156,22,Female,Whatsapp,70.0,2.0,42.0,10.0,21.0,Anxiety
156,157,25,Male,Telegram,90.0,3.0,22.0,11.0,22.0,Boredom
157,158,29,Non-binary,Snapchat,50.0,2.0,18.0,7.0,18.0,Sadness
158,159,28,Female,Twitter,95.0,4.0,48.0,22.0,25.0,Happiness
159,160,27,Male,Facebook,60.0,1.0,12.0,5.0,15.0,Boredom
160,161,30,Female,Instagram,175.0,6.0,72.0,30.0,33.0,Happiness
161,162,23,Male,Whatsapp,70.0,3.0,22.0,10.0,18.0,Anger
162,163,34,Non-binary,Telegram,80.0,2.0,21.0,8.0,20.0,Neutral
163,164,26,Female,Snapchat,120.0,4.0,55.0,18.0,30.0,Anxiety
164,165,25,Male,Twitter,90.0,6.0,42.0,14.0,26.0,Sadness
165,166,29,Non-binary,Facebook,60.0,1.0,12.0,4.0,12.0,Boredom
166,167,28,Male,Instagram,165.0,5.0,78.0,23.0,35.0,Happiness
167,168,31,Female,Whatsapp,65.0,2.0,27.0,10.0,20.0,Neutral
168,169,27,Male,Telegram,105.0,3.0,48.0,20.0,28.0,Anxiety
169,170,22,Non-binary,Snapchat,75.0,2.0,21.0,8.0,20.0,Sadness
170,171,24,Female,Instagram,140.0,4.0,65.0,22.0,30.0,Happiness
171,172,35,Male,Twitter,70.0,1.0,13.0,8.0,10.0,Boredom
172,173,21,Non-binary,Facebook,55.0,3.0,17.0,7.0,12.0,Neutral
173,174,29,Female,Whatsapp,90.0,2.0,24.0,12.0,22.0,Anger
174,175,25,Male,Telegram,80.0,4.0,30.0,13.0,25.0,Neutral
175,176,28,Non-binary,Snapchat,115.0,3.0,38.0,18.0,27.0,Anxiety
176,177,32,Female,Instagram,155.0,6.0,75.0,25.0,38.0,Happiness
177,178,26,Male,Twitter,75.0,2.0,23.0,12.0,18.0,Sadness
178,179,33,Non-binary,Facebook,65.0,1.0,13.0,7.0,14.0,Anxiety
179,180,27,Female,Whatsapp,90.0,4.0,37.0,18.0,20.0,Neutral
180,181,31,Male,Telegram,50.0,2.0,20.0,10.0,12.0,Sadness
181,182,24,Non-binary,Snapchat,85.0,3.0,33.0,20.0,18.0,Happiness
182,183,34,Female,Instagram,120.0,5.0,60.0,25.0,25.0,Anger
183,184,22,Male,Twitter,70.0,1.0,22.0,7.0,22.0,Neutral
184,185,29,Non-binary,Facebook,75.0,2.0,20.0,8.0,20.0,Boredom
185,186,28,Female,Whatsapp,100.0,4.0,37.0,14.0,26.0,Anxiety
186,187,31,Male,Telegram,85.0,3.0,45.0,20.0,28.0,Sadness
187,188,21,Non-binary,Snapchat,60.0,1.0,18.0,7.0,12.0,Neutral
188,189,25,Female,Instagram,170.0,6.0,83.0,30.0,33.0,Happiness
189,190,30,Male,Twitter,70.0,2.0,30.0,12.0,20.0,Anxiety
190,191,27,Non-binary,Facebook,50.0,1.0,10.0,4.0,10.0,Boredom
191,192,32,Female,Whatsapp,105.0,4.0,55.0,25.0,25.0,Anger
192,193,24,Male,Telegram,75.0,3.0,37.0,16.0,22.0,Neutral
193,194,29,Female,Snapchat,95.0,2.0,23.0,10.0,28.0,Sadness
194,195,26,Male,Instagram,150.0,5.0,70.0,25.0,30.0,Anxiety
195,196,33,Non-binary,Twitter,85.0,4.0,35.0,18.0,18.0,Boredom
196,197,22,Female,Facebook,70.0,1.0,14.0,6.0,10.0,Neutral
197,198,35,Male,Whatsapp,110.0,3.0,50.0,25.0,25.0,Happiness
198,199,28,Non-binary,Telegram,60.0,2.0,18.0,8.0,18.0,Anger
199,200,27,Female,Snapchat,120.0,4.0,40.0,18.0,22.0,Neutral
200,201,25,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness
201,202,30,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger
202,203,22,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral
203,204,28,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety
204,205,33,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom
205,206,21,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness
206,207,27,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger
207,208,24,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness
208,209,29,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral
209,210,31,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness
210,211,23,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety
211,212,26,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness
212,213,34,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom
213,214,22,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness
214,215,28,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger
215,216,21,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral
216,217,35,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety
217,218,27,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness
218,219,23,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral
219,220,32,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness
220,221,26,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety
221,222,24,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger
222,223,29,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom
223,224,33,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness
224,225,22,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness
225,226,31,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral
226,227,27,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety
227,228,25,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness
228,229,30,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger
229,230,26,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness
230,231,34,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom
231,232,28,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness
232,233,23,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral
233,234,21,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness
234,235,29,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety
235,236,24,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom
236,237,33,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness
237,238,27,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger
238,239,22,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral
239,240,28,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety
240,241,31,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness
241,242,25,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness
242,243,29,Male,Twitter,95.0,4.0,50.0,22.0,22.0,Anger
243,244,23,Non-binary,Facebook,105.0,2.0,25.0,12.0,18.0,Neutral
244,245,35,Female,LinkedIn,60.0,1.0,15.0,7.0,14.0,Boredom
245,246,30,Male,Instagram,175.0,7.0,100.0,33.0,38.0,Happiness
246,247,21,Female,Twitter,90.0,3.0,37.0,14.0,20.0,Sadness
247,248,26,Non-binary,Facebook,75.0,2.0,30.0,12.0,18.0,Anxiety
248,249,32,Male,Instagram,130.0,5.0,80.0,28.0,31.0,Neutral
249,250,28,Female,LinkedIn,55.0,1.0,12.0,6.0,10.0,Boredom
250,251,Male,27,Instagram,165.0,6.0,85.0,30.0,28.0,Happiness
251,252,Female,24,Twitter,75.0,3.0,33.0,18.0,19.0,Anger
252,253,Non-binary,29,Facebook,85.0,2.0,27.0,9.0,20.0,Neutral
253,254,Female,33,Instagram,145.0,4.0,65.0,23.0,35.0,Sadness
254,255,Male,31,LinkedIn,60.0,1.0,15.0,7.0,17.0,Anxiety
255,256,Female,22,Whatsapp,70.0,2.0,42.0,10.0,21.0,Anxiety
256,257,Male,25,Telegram,90.0,3.0,22.0,11.0,22.0,Boredom
257,258,Non-binary,29,Snapchat,50.0,2.0,18.0,7.0,18.0,Sadness
258,259,Female,28,Twitter,95.0,4.0,48.0,22.0,25.0,Happiness
259,260,Male,27,Facebook,60.0,1.0,12.0,5.0,15.0,Boredom
260,261,Female,30,Instagram,175.0,6.0,72.0,30.0,33.0,Happiness
261,262,Male,23,Whatsapp,70.0,3.0,22.0,10.0,18.0,Anger
262,263,Non-binary,34,Telegram,80.0,2.0,21.0,8.0,20.0,Neutral
263,264,Female,26,Snapchat,120.0,4.0,55.0,18.0,30.0,Anxiety
264,265,Male,25,Twitter,90.0,6.0,42.0,14.0,26.0,Sadness
265,266,Non-binary,29,Facebook,60.0,1.0,12.0,4.0,12.0,Boredom
266,267,Male,28,Instagram,165.0,5.0,78.0,23.0,35.0,Happiness
267,268,Female,31,Whatsapp,65.0,2.0,27.0,10.0,20.0,Neutral
268,269,Male,27,Telegram,105.0,3.0,48.0,20.0,28.0,Anxiety
269,270,Non-binary,22,Snapchat,75.0,2.0,21.0,8.0,20.0,Sadness
270,271,Female,24,Instagram,140.0,4.0,65.0,22.0,30.0,Happiness
271,272,Male,35,Twitter,70.0,1.0,13.0,8.0,10.0,Boredom
272,273,Non-binary,21,Facebook,55.0,3.0,17.0,7.0,12.0,Neutral
273,274,Female,29,Whatsapp,90.0,2.0,24.0,12.0,22.0,Anger
274,275,Male,25,Telegram,80.0,4.0,30.0,13.0,25.0,Neutral
275,276,Non-binary,28,Snapchat,115.0,3.0,38.0,18.0,27.0,Anxiety
276,277,Female,32,Instagram,155.0,6.0,75.0,25.0,38.0,Happiness
277,278,Male,26,Twitter,75.0,2.0,23.0,12.0,18.0,Sadness
278,279,Non-binary,33,Facebook,65.0,1.0,13.0,7.0,14.0,Anxiety
279,280,Female,27,Whatsapp,90.0,4.0,37.0,18.0,20.0,Neutral
280,281,Male,31,Telegram,50.0,2.0,20.0,10.0,12.0,Sadness
281,282,Non-binary,24,Snapchat,85.0,3.0,33.0,20.0,18.0,Happiness
282,283,Female,34,Instagram,120.0,5.0,60.0,25.0,25.0,Anger
283,284,Male,22,Twitter,70.0,1.0,22.0,7.0,22.0,Neutral
284,285,Non-binary,29,Facebook,75.0,2.0,20.0,8.0,20.0,Boredom
285,286,Female,28,Whatsapp,100.0,4.0,37.0,14.0,26.0,Anxiety
286,287,Male,31,Telegram,85.0,3.0,45.0,20.0,28.0,Sadness
287,288,Non-binary,21,Snapchat,60.0,1.0,18.0,7.0,12.0,Neutral
288,289,25,Female,Instagram,170.0,6.0,83.0,30.0,33.0,Happiness
289,290,30,Male,Twitter,70.0,2.0,30.0,12.0,20.0,Anxiety
290,291,27,Non-binary,Facebook,50.0,1.0,10.0,4.0,10.0,Boredom
291,292,32,Female,Whatsapp,105.0,4.0,55.0,25.0,25.0,Anger
292,293,24,Male,Telegram,75.0,3.0,37.0,16.0,22.0,Neutral
293,294,29,Female,Snapchat,95.0,2.0,23.0,10.0,28.0,Sadness
294,295,26,Male,Instagram,150.0,5.0,70.0,25.0,30.0,Anxiety
295,296,33,Non-binary,Twitter,85.0,4.0,35.0,18.0,18.0,Boredom
296,297,22,Female,Facebook,70.0,1.0,14.0,6.0,10.0,Neutral
297,298,35,Male,Whatsapp,110.0,3.0,50.0,25.0,25.0,Happiness
298,299,28,Non-binary,Telegram,60.0,2.0,18.0,8.0,18.0,Anger
299,300,27,Female,Snapchat,120.0,4.0,40.0,18.0,22.0,Neutral
300,301,25,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness
301,302,30,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger
302,303,22,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral
303,304,28,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety
304,305,33,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom
305,306,21,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness
306,307,27,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger
307,308,24,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness
308,309,29,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral
309,310,31,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness
310,311,23,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety
311,312,26,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness
312,313,34,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom
313,314,22,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness
314,315,28,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger
315,316,21,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral
316,317,35,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety
317,318,27,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness
318,319,23,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral
319,320,32,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness
320,321,26,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety
321,322,24,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger
322,323,29,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom
323,324,33,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness
324,325,22,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness
325,326,31,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral
326,327,27,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety
327,328,25,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness
328,329,30,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger
329,330,26,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness
330,331,34,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom
331,332,28,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness
332,333,23,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral
333,334,21,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness
334,335,29,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety
335,336,24,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom
336,337,33,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness
337,338,27,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger
338,339,22,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral
339,340,28,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety
340,341,31,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness
341,342,25,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness
